species,size,motility,feeding,tiering
Actinopterygii_1,large,fast_moving,carnivore,benthopelagic
Actinopterygii_2,medium,fast_moving,carnivore,benthopelagic
Bivalvia_3,medium,nonmotile_attached,herbivore,epifaunal
Crustacea_1,tiny,slow_moving,herbivore,epifaunal
Cephalopoda_2,medium,fast_moving,carnivore,benthopelagic
Bivalvia_2,medium,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_5,small,fast_moving,herbivore,deep_infaunal
Rhynchonelliformea_2,small,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Foraminifera_2,tiny,nonmotile_unattached,herbivore,epifaunal
Annelida_ichnofossil_4,small,slow_moving,herbivore,deep_infaunal
Annelida_ichnofossil_6,small,slow_moving,herbivore,shallow_infaunal
Conodonta_1,small,fast_moving,microcarnivore,nektopelagic
Echinoidea_1,medium,slow_moving,omnivore,epifaunal
Annelida_ichnofossil_2,small,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_4,medium,fast_moving,herbivore,deep_infaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Foraminifera_1,small,nonmotile_unattached,herbivore,epifaunal
Cephalopoda_1,large,fast_moving,carnivore,benthopelagic
Chondrichthyes_1,large,fast_moving,carnivore,benthopelagic
Sarcopterygii_1,large,fast_moving,carnivore,benthopelagic
Chondrichthyes_2,medium,fast_moving,carnivore,benthopelagic
Sarcopterygii_2,medium,fast_moving,carnivore,benthopelagic
Trilobita_1,medium,fast_moving,carnivore,epifaunal
Gastropoda_1,small,slow_moving,carnivore,epifaunal
Gastropoda_2,tiny,slow_moving,carnivore,epifaunal
Annelida_ichnofossil_1,medium,facultative,herbivore,deep_infaunal
Bivalvia_1,medium,facultative,herbivore,deep_infaunal
Crinoidea_1,medium,nonmotile_attached,herbivore,epifaunal
Porifera_1,medium,nonmotile_attached,herbivore,epifaunal
Linguliformea_1,small,nonmotile_attached,herbivore,epifaunal
Porifera_2,small,nonmotile_attached,herbivore,epifaunal
Annelida_ichnofossil_3,medium,slow_moving,herbivore,deep_infaunal
Annelida_ichnofossil_5,medium,slow_moving,herbivore,shallow_infaunal
Cnidaria_1,medium,nonmotile_attached,microcarnivore,epifaunal
Cnidaria_2,small,nonmotile_attached,microcarnivore,epifaunal
