taxon_resource,taxon_consumer
Araxathyris_sp,Archaeolepidotus_leonardii
Araxathyris_sp,Echinoidea_gen_et_sp_indet
Araxathyris_sp,Eotiaris_teseroensis
Araxathyris_sp,Wannerispira_sp
Araxathyris_sp,Warthia_vaceki
Bairdiacypris_longirobusta,Echinoidea_gen_et_sp_indet
Bairdiacypris_longirobusta,Eotiaris_teseroensis
Bairdiacypris_longirobusta,Wannerispira_sp
Bairdiacypris_longirobusta,Warthia_vaceki
Echinoidea_gen_et_sp_indet,Archaeolepidotus_leonardii
Echinoidea_gen_et_sp_indet,Eotiaris_teseroensis
Echinoidea_gen_et_sp_indet,Wannerispira_sp
Echinoidea_gen_et_sp_indet,Warthia_vaceki
Ellisonia_agordina,Archaeolepidotus_leonardii
Ellisonia_triassica,Archaeolepidotus_leonardii
Eotiaris_teseroensis,Archaeolepidotus_leonardii
Eotiaris_teseroensis,Echinoidea_gen_et_sp_indet
Eotiaris_teseroensis,Wannerispira_sp
Eotiaris_teseroensis,Warthia_vaceki
Eotuberitina_cf_praecipia,Echinoidea_gen_et_sp_indet
Eotuberitina_cf_praecipia,Eotiaris_teseroensis
Eotuberitina_cf_praecipia,Wannerispira_sp
Eotuberitina_cf_praecipia,Warthia_vaceki
Eumorphotis_lorigae,Archaeolepidotus_leonardii
Frondina_cf_permica,Echinoidea_gen_et_sp_indet
Frondina_cf_permica,Eotiaris_teseroensis
Frondina_cf_permica,Wannerispira_sp
Frondina_cf_permica,Warthia_vaceki
Frondina_permica,Echinoidea_gen_et_sp_indet
Frondina_permica,Eotiaris_teseroensis
Frondina_permica,Wannerispira_sp
Frondina_permica,Warthia_vaceki
Frondinodosaria_sp_2,Echinoidea_gen_et_sp_indet
Frondinodosaria_sp_2,Eotiaris_teseroensis
Frondinodosaria_sp_2,Wannerispira_sp
Frondinodosaria_sp_2,Warthia_vaceki
Geinitzina_sp_1,Echinoidea_gen_et_sp_indet
Geinitzina_sp_1,Eotiaris_teseroensis
Geinitzina_sp_1,Wannerispira_sp
Geinitzina_sp_1,Warthia_vaceki
Geinitzina_sp_indet,Echinoidea_gen_et_sp_indet
Geinitzina_sp_indet,Eotiaris_teseroensis
Geinitzina_sp_indet,Wannerispira_sp
Geinitzina_sp_indet,Warthia_vaceki
Geinitzina_spandeli_dolomitica,Echinoidea_gen_et_sp_indet
Geinitzina_spandeli_dolomitica,Eotiaris_teseroensis
Geinitzina_spandeli_dolomitica,Wannerispira_sp
Geinitzina_spandeli_dolomitica,Warthia_vaceki
Geinitzina_spandeli_plana,Echinoidea_gen_et_sp_indet
Geinitzina_spandeli_plana,Eotiaris_teseroensis
Geinitzina_spandeli_plana,Wannerispira_sp
Geinitzina_spandeli_plana,Warthia_vaceki
Geinitzina_uralica_simplex,Echinoidea_gen_et_sp_indet
Geinitzina_uralica_simplex,Eotiaris_teseroensis
Geinitzina_uralica_simplex,Wannerispira_sp
Geinitzina_uralica_simplex,Warthia_vaceki
Hadrodontina_anceps,Archaeolepidotus_leonardii
Hindeodus_latidentatus,Archaeolepidotus_leonardii
Hindeodus_praeparvus,Archaeolepidotus_leonardii
Hindeodus_typicalis,Archaeolepidotus_leonardii
Ichthyofrondina_latilimbata,Echinoidea_gen_et_sp_indet
Ichthyofrondina_latilimbata,Eotiaris_teseroensis
Ichthyofrondina_latilimbata,Wannerispira_sp
Ichthyofrondina_latilimbata,Warthia_vaceki
Isarcicella_changxingensis,Archaeolepidotus_leonardii
Isarcicella_peculiaris,Archaeolepidotus_leonardii
Isarcicella_prisca,Archaeolepidotus_leonardii
Isarcicella_turgida,Archaeolepidotus_leonardii
Knoxiella_ventrospinosa,Echinoidea_gen_et_sp_indet
Knoxiella_ventrospinosa,Eotiaris_teseroensis
Knoxiella_ventrospinosa,Wannerispira_sp
Knoxiella_ventrospinosa,Warthia_vaceki
Labioglobivalvulina_baudi,Echinoidea_gen_et_sp_indet
Labioglobivalvulina_baudi,Eotiaris_teseroensis
Labioglobivalvulina_baudi,Wannerispira_sp
Labioglobivalvulina_baudi,Warthia_vaceki
Leptochondria_sp,Archaeolepidotus_leonardii
Microconchida_sp,Archaeolepidotus_leonardii
Microconchida_sp,Echinoidea_gen_et_sp_indet
Microconchida_sp,Eotiaris_teseroensis
Microconchida_sp,Wannerispira_sp
Microconchida_sp,Warthia_vaceki
Nankinella_cf_discoides,Archaeolepidotus_leonardii
Nankinella_cf_discoides,Echinoidea_gen_et_sp_indet
Nankinella_cf_discoides,Eotiaris_teseroensis
Nankinella_cf_discoides,Wannerispira_sp
Nankinella_cf_discoides,Warthia_vaceki
Nankinella_cf_quasihunanensis,Archaeolepidotus_leonardii
Nankinella_cf_quasihunanensis,Echinoidea_gen_et_sp_indet
Nankinella_cf_quasihunanensis,Eotiaris_teseroensis
Nankinella_cf_quasihunanensis,Wannerispira_sp
Nankinella_cf_quasihunanensis,Warthia_vaceki
Nodosaria_elabugae,Echinoidea_gen_et_sp_indet
Nodosaria_elabugae,Eotiaris_teseroensis
Nodosaria_elabugae,Wannerispira_sp
Nodosaria_elabugae,Warthia_vaceki
Nodosinelloides_cf_aequiampla,Echinoidea_gen_et_sp_indet
Nodosinelloides_cf_aequiampla,Eotiaris_teseroensis
Nodosinelloides_cf_aequiampla,Wannerispira_sp
Nodosinelloides_cf_aequiampla,Warthia_vaceki
Nodosinelloides_cf_shikhanica,Echinoidea_gen_et_sp_indet
Nodosinelloides_cf_shikhanica,Eotiaris_teseroensis
Nodosinelloides_cf_shikhanica,Wannerispira_sp
Nodosinelloides_cf_shikhanica,Warthia_vaceki
Orbicoelia_dolomitensis,Archaeolepidotus_leonardii
Orbicoelia_dolomitensis,Echinoidea_gen_et_sp_indet
Orbicoelia_dolomitensis,Eotiaris_teseroensis
Orbicoelia_dolomitensis,Wannerispira_sp
Orbicoelia_dolomitensis,Warthia_vaceki
Pachyphloia_sp,Echinoidea_gen_et_sp_indet
Pachyphloia_sp,Eotiaris_teseroensis
Pachyphloia_sp,Wannerispira_sp
Pachyphloia_sp,Warthia_vaceki
Palaeofusulina_sp,Echinoidea_gen_et_sp_indet
Palaeofusulina_sp,Eotiaris_teseroensis
Palaeofusulina_sp,Wannerispira_sp
Palaeofusulina_sp,Warthia_vaceki
Paraglobivalvulina_gracilis,Echinoidea_gen_et_sp_indet
Paraglobivalvulina_gracilis,Eotiaris_teseroensis
Paraglobivalvulina_gracilis,Wannerispira_sp
Paraglobivalvulina_gracilis,Warthia_vaceki
Paraglobivalvulina_mira,Echinoidea_gen_et_sp_indet
Paraglobivalvulina_mira,Eotiaris_teseroensis
Paraglobivalvulina_mira,Wannerispira_sp
Paraglobivalvulina_mira,Warthia_vaceki
Pilammina_sp_1,Echinoidea_gen_et_sp_indet
Pilammina_sp_1,Eotiaris_teseroensis
Pilammina_sp_1,Wannerispira_sp
Pilammina_sp_1,Warthia_vaceki
