species,size,motility,feeding,tiering
Tiramnia_greenlandica,medium,nonmotile_attached,herbivore,epifaunal
Liosotella_sp,medium,nonmotile_attached,herbivore,epifaunal
Fenestellidae_indet,tiny,nonmotile_attached,herbivore,epifaunal
Ramipora_sp,tiny,nonmotile_attached,herbivore,epifaunal
Tabulipora_sp,tiny,nonmotile_attached,herbivore,epifaunal
Bobasatrania_sp,large,fast_moving,carnivore,benthopelagic
Fadenia,large,fast_moving,carnivore,benthopelagic
Neogondolella_sp,tiny,fast_moving,microcarnivore,nektopelagic
Calophyllum_sp,medium,nonmotile_attached,microcarnivore,epifaunal
Ammobaculites_directa,tiny,nonmotile_unattached,herbivore,semi_infaunal
Ammobaculites_eiseli,tiny,nonmotile_unattached,herbivore,semi_infaunal
Ammobaculites_sp,tiny,nonmotile_unattached,herbivore,semi_infaunal
Ammodiscus_robustus,tiny,nonmotile_unattached,herbivore,epifaunal
Ammodiscus_roessleri,tiny,nonmotile_unattached,herbivore,epifaunal
Ammodiscus_roessleri_ellipticus,tiny,nonmotile_unattached,herbivore,epifaunal
Glomospira_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Hyperammina_recta,tiny,nonmotile_unattached,herbivore,shallow_infaunal
Reophax_sp,tiny,nonmotile_unattached,herbivore,shallow_infaunal
Paramexicoceras_spp,medium,fast_moving,carnivore,benthopelagic
Planolites_isp,small,slow_moving,herbivore,shallow_infaunal
Palaeophycus_isp,small,facultative,herbivore,shallow_infaunal
Rhizocorallium_isp,small,facultative,herbivore,shallow_infaunal
Rutichnus_rutis,medium,slow_moving,herbivore,deep_infaunal
