species,size,motility,feeding,tiering
Fabalicypris_sp_A,tiny,slow_moving,herbivore,epifaunal
Cornuspira_mahajeri,tiny,nonmotile_unattached,herbivore,epifaunal
Earlandia_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Skolithos_isp,small,facultative,herbivore,deep_infaunal
Hindeodus_typicalis,small,fast_moving,microcarnivore,nektopelagic
Geinitzina_sp_indet,tiny,nonmotile_unattached,herbivore,epifaunal
Postcladella_kalhori,tiny,nonmotile_unattached,herbivore,epifaunal
Eumorphotis_lorigae,medium,nonmotile_attached,herbivore,epifaunal
Hindeodus_latidentatus,small,fast_moving,microcarnivore,nektopelagic
Hindeodus_praeparvus,small,fast_moving,microcarnivore,nektopelagic
Bairdiacypris_longirobusta,tiny,slow_moving,herbivore,epifaunal
Knoxiella_ventrospinosa,tiny,slow_moving,herbivore,epifaunal
Sargentina_postacuta,tiny,slow_moving,herbivore,epifaunal
Nodosaria_elabugae,tiny,nonmotile_unattached,herbivore,epifaunal
Frondina_cf_permica,tiny,nonmotile_unattached,herbivore,epifaunal
Frondina_permica,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_sp_1,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_spandeli_dolomitica,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_uralica_simplex,tiny,nonmotile_unattached,herbivore,epifaunal
Ichthyofrondina_latilimbata,tiny,nonmotile_unattached,herbivore,epifaunal
Labioglobivalvulina_baudi,tiny,nonmotile_unattached,herbivore,epifaunal
Nankinella_cf_discoides,small,nonmotile_unattached,herbivore,epifaunal
Nankinella_cf_quasihunanensis,small,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_cf_aequiampla,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Palaeofusulina_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Paraglobivalvulina_gracilis,tiny,nonmotile_unattached,herbivore,epifaunal
Paraglobivalvulina_mira,tiny,nonmotile_unattached,herbivore,epifaunal
Pilammina_sp_1,tiny,nonmotile_unattached,herbivore,epifaunal
Polarisella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Rectoglomospira_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Rectostipulina_quadrata,tiny,nonmotile_unattached,herbivore,epifaunal
Robuloides_lens,tiny,nonmotile_unattached,herbivore,epifaunal
Catubria_paronae,small,nonmotile_attached,herbivore,epifaunal
Crinoidea_indet,medium,nonmotile_attached,herbivore,epifaunal
Entalis_sp,medium,facultative,carnivore,shallow_infaunal
Acharax_frenademezi,medium,facultative,herbivore,shallow_infaunal
Allorisma_depressum,medium,facultative,herbivore,shallow_infaunal
Avicula_genitrix,medium,nonmotile_attached,herbivore,epifaunal
Avicula_salvani,medium,nonmotile_attached,herbivore,epifaunal
Avicula_aff_tofanae,small,nonmotile_attached,herbivore,epifaunal
Aviculopecten_praecursor,medium,nonmotile_attached,herbivore,epifaunal
Aviculopecten_pseudocaenus,medium,nonmotile_attached,herbivore,epifaunal
Aviculopecten_bellerophontis,medium,nonmotile_attached,herbivore,epifaunal
Aviculopecten_cf_squamula,medium,nonmotile_attached,herbivore,epifaunal
Bakevellia_binneyi,medium,nonmotile_attached,herbivore,epifaunal
Bakevellia_ceratophaga,small,nonmotile_attached,herbivore,epifaunal
Bakevellia_preromangica,small,nonmotile_attached,herbivore,epifaunal
Bakevellia_cf_nikitowkensis,small,nonmotile_attached,herbivore,epifaunal
Cardiomorpha_globata,medium,nonmotile_unattached,herbivore,semi_infaunal
Cardiomorpha_aff_nysti,medium,nonmotile_unattached,herbivore,semi_infaunal
Cassianella_stachei,medium,nonmotile_unattached,herbivore,epifaunal
Crenipecten_dichotomo-costatus,medium,nonmotile_unattached,herbivore,epifaunal
Edmondia_cf_radiata,medium,facultative,herbivore,deep_infaunal
Edmondia_hautmanni,medium,facultative,herbivore,deep_infaunal
Etheripecten_stuflesseri,medium,nonmotile_attached,herbivore,epifaunal
Eumorphotis_cingulata,medium,nonmotile_attached,herbivore,epifaunal
Eumorphotis_praecurrens,medium,nonmotile_attached,herbivore,epifaunal
Eumorphotis_striatocostata,medium,nonmotile_attached,herbivore,epifaunal
Gardenapecten_comelicanus,medium,nonmotile_attached,herbivore,epifaunal
Gardenapecten_trinkeri,medium,nonmotile_attached,herbivore,epifaunal
Cosmetodon_obsoletiformis,medium,nonmotile_attached,herbivore,epifaunal
Hoernesia_pironai,medium,nonmotile_attached,herbivore,semi_infaunal
Ladinomya_fosteri,medium,facultative,herbivore,deep_infaunal
Liebea_dieneri,medium,nonmotile_attached,herbivore,epifaunal
Liebea_hausmanni,medium,nonmotile_attached,herbivore,epifaunal
Lima_footei,small,nonmotile_attached,herbivore,epifaunal
Lithodomina_abbreviata,small,nonmotile_attached,herbivore,epifaunal
Lithophaga_cf_lithodomoides,medium,nonmotile_attached,herbivore,epifaunal
Lithophaga_carbonarius,small,nonmotile_attached,herbivore,epifaunal
Lovaralucina_covidi,medium,facultative,herbivore,shallow_infaunal
Modiolus_cf_macadamii,small,nonmotile_attached,herbivore,epifaunal
Myalina_depressa,medium,nonmotile_attached,herbivore,epifaunal
Myalina_incaroiana,medium,nonmotile_attached,herbivore,epifaunal
Mysidioptera_multistriata,small,nonmotile_attached,herbivore,epifaunal
Nucula_beyrichi,small,facultative,herbivore,shallow_infaunal
Palaeanodonta_sp,medium,facultative,herbivore,shallow_infaunal
