"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Catubria_paronae","small","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Praeaplocoma_hessi","medium","slow_moving","herbivore","epifaunal","3","diffusion","unbuffered"
"Crinoidea_indet","medium","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Entalis_sp","medium","facultative","carnivore","shallow_infaunal","1","hemocyanin","buffered"
"Acharax_frenademezi","medium","facultative","herbivore","shallow_infaunal","1","hemocyanin","buffered"
"Allorisma_depressum","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Avicula_genitrix","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Avicula_salvani","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Avicula_aff_tofanae","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Aviculopecten_praecursor","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Aviculopecten_pseudocaenus","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Aviculopecten_bellerophontis","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Aviculopecten_cf_squamula","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Bakevellia_binneyi","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Bakevellia_ceratophaga","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Bakevellia_preromangica","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Bakevellia_cf_nikitowkensis","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Cardiomorpha_globata","medium","nonmotile_unattached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Cardiomorpha_aff_nysti","medium","nonmotile_unattached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Cassianella_stachei","medium","nonmotile_unattached","herbivore","epifaunal","1","hemoglobin","buffered"
"Claraia_aurita","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Claraia_clarae","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Claraia_griesbachi","small","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Claraia_orbicularis","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Claraia_stachei","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Crenipecten_dichotomo-costatus","medium","nonmotile_unattached","herbivore","epifaunal","1","hemoglobin","buffered"
"Edmondia_cf_radiata","medium","facultative","herbivore","deep_infaunal","1","hemoglobin","buffered"
"Edmondia_hautmanni","medium","facultative","herbivore","deep_infaunal","1","hemoglobin","buffered"
"Etheripecten_stuflesseri","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Eumorphotis_cingulata","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Eumorphotis_lorigae","medium","nonmotile_attached","herbivore","epifaunal","1,2","hemoglobin","buffered"
"Eumorphotis_multiformis","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Eumorphotis_praecurrens","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Eumorphotis_striatocostata","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Gardenapecten_comelicanus","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Gardenapecten_trinkeri","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Cosmetodon_obsoletiformis","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Hoernesia_pironai","medium","nonmotile_attached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Ladinomya_fosteri","medium","facultative","herbivore","deep_infaunal","1","hemoglobin","buffered"
"Leptochondria_sp","medium","nonmotile_attached","herbivore","epifaunal","2","hemoglobin","buffered"
"Liebea_dieneri","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Liebea_hausmanni","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Lima_footei","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Lithodomina_abbreviata","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Lithophaga_cf_lithodomoides","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Lithophaga_carbonarius","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Lovaralucina_covidi","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Modiolus_cf_macadamii","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Myalina_depressa","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Myalina_incaroiana","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Mysidioptera_multistriata","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Neoschizodus_laevigatus","medium","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Neoschizodus_orbicularis","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Neoschizodus_ovatus","medium","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Nucula_beyrichi","small","facultative","herbivore","shallow_infaunal","1","hemocyanin","buffered"
"Palaeanodonta_sp","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Palaeolima_badiotica","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Pernopecten_salinchieti","medium","nonmotile_unattached","herbivore","epifaunal","1","hemoglobin","buffered"
"Pernopecten_tirolense","medium","nonmotile_unattached","herbivore","epifaunal","1","hemoglobin","buffered"
